title,author,rating (out of 5),summary
Fate of a Royal (Lords of Rathe #1),Meagan Brandy ...more,4.21,"“You will go to Rathe University, live among the giftless and those of light magic. You, Knight Deveraux, will learn to coexist.” I’ve never heard more wasted words in my life. Then again, the gifted counsel never did have much to say that wasn’t. The only members amongst them who speak a thing worth listening to are my parents, the King and Queen of the Stygian’s, the people of Dark Magic. Unfortunately for me and my brothers, they’ve chosen to play nice instead of sinking their talons into anyone who dares demand a thing from their heirs. In this instance at least. Every gifted is forced to leave our realm behind after graduation to spend the next four years in a world that isn’t ours, while pretending it’s enough for those with something deeper clawing beneath their skin. It isn’t. Not by a long shot, and while it’s as boring as I thought it would be, we find ways to entertain ourselves. A little Fae Dust, the power of persuasion, and it’s a party worthy of a royal … or four. That was fun the first year, but it’s my second now, and the minute I got back to campus, I knew it would be worse than before. I felt it, that pull buried beneath my skin, the whisper of a warning deep in my mind I could hear but couldn’t reach. It starts with a human party and ends with a nightmare. A five foot, white haired one. With eyes like ice and a body begging to be bitten, she’s a problem. A giftless one. That’s right, she’s human. Worthless. And if the shadow circling my soul is telling me what I think it is … she belongs to it. My new obsession … is my fated mate. But there is no way the fates would give me, a Lord of Rathe, a heir to the throne of dark magic, a giftless girl. I’ll prove they got it wrong. That she’s not mine. If I’m lucky, I’ll destroy her in the process."
The Best Kind of Forever (Riverside Reapers #1),Celeste Briars,3.41,"Aeris Relera has always drawn the short end of the stick in life—a self-absorbed ex, neglectful parents, and a past that continues to haunt her. When she’s down on her luck one night, a mysterious knight in shining armor—or more realistically, a knight in hockey shoulder pads—saves her from a few too many tequila shots.Hayes Hollings’ checkered past refuses to stay very far behind him, and his mistakes are even more catastrophic when they’re broadcasted to the whole world. Being a disgraced NHL player isn’t good for his love life or his reputation. Determined to get into the public’s good graces, Hayes constructs a devious plan to rebrand his image as a doting boyfriend.Aeris has grown to accept that she’s not destined for what love has to offer, but when Hayes rewrites her fate, she’s thrown into an internal battle that has her stretched between giving love a shot or keeping her distance from the Riverside Reapers’ biggest playboy. Hayes might seem like the perfect guy to help Aeris learn how to love again, but little does she know that he’s harboring a secret big enough to ruin her completely.Will love prevail between two polar opposites, or will fatal lies break these two apart?The Best Kind of Forever is a hilarious hockey romance featuring a swoon-worthy, reformed playboy, a fake dating scheme, spice hot enough to make you question your religious values, and a newfound chance at love between two polar opposites. It’s the first book in a series, but can be read as a standalone.The Best Kind of Forever is a hockey romance, he falls first and harder, opposites attract, midsize heroine sports romance with no cheating and a satisfying happily ever after."
Saving Rain,Kelsey Kingsley,4.32,"
From the author of Warrior Blue comes an emotional, gritty story about redemption, love, and an antihero with a desperation to achieve his lifelong dream - to be a good man.Are you ready for redemption?
My name is Soldier, but I was never meant to be a hero.From the moment I was born, I was looked at as a beacon of hope, a guiding light—a savior. But that type of pressure can drive a man to desperation, to do things he shouldn’t, and in my case, that’s exactly what happened.All I ever wanted to be was a good person, someone my grandparents could be proud of, but for a long time, I couldn’t find the strength to be proud of myself.I paid the price.I did my time.Yet ... somehow, I got lucky.I was given a second chance to do better, to be the man I always believed I could be. And after finding the love I never knew I deserved, I’m starting to wonder if there’s still room for me to be a hero after all ..."
Broken Beyond Repair (A South Downs Romance #1),Emily Banting,4.36,"GOLDIE WINNER 2023: THE ANN BANNON POPULAR CHOICE BRONZE AWARDGOLDIE FINALIST 2023: CONTEMPORARY ROMANCE LONG NOVELWINNER OF THE LESFIC BARD AWARD 2022: ROMANCEWINNER OF THE LESFIC BARD AWARD 2022: COVER DESIGNWINNER OF THE QUEER INDIE AWARDS 2022: CONTEMPORARY ROMANCEAn age gap, celebrity ice queen romance that will pull at the heart strings — even the icy ones!Sydney MacKenzie, personal assistant to the rich and famous, is looking forward to a well-earned break to go travelling in her beloved VW camper van, Gertie — that is, until Gertie cries off sick. When her boss calls in a favour, one that will pay Sydney handsomely and put Gertie back on the road, she can’t refuse.Internationally renowned actress Beatrice Russell — adored by her fans and despised by those that know her — is splashed across the tabloids, all thanks to her broken leg. She limps back to her palatial English country estate to convalesce for the summer, where she finds herself in need of yet another new assistant.Enter Sydney, who doesn’t take kindly to the star’s demands, attitude, or clicking fingers — much less her body’s own attraction to the gorgeous diva. If not for that, and Gertie’s worn-out engine, she would leave tomorrow. Or so she tells herself.As the summer heats up, the ice queen begins to thaw, and Sydney glimpses the tormented woman beneath the celebrity bravado, drawing her ever closer to the enigmatic actress — sometimes too close.Can Sydney reach the real Beatrice and help heal her wounds before the summer ends and she returns to filming in the States, or is the celebrity broken beyond repair?"
Kilt to Order,Susannah Nix,4.46,"
A wallflower enlists her Casanova roommate to give her lessons in seduction.
Being both a Highland Games athlete and a firefighter makes me doubly popular with the opposite sex. I’ve had my share of women under my kilt, but I never expected to be propositioned by my bookworm roommate. Casey’s one of my best friends and my buddy’s little sister. What am I supposed to do when she confesses that she’s on a mission to lose her virginity—and I’m the guy she trusts to do the deed?If I say no, she’ll only turn to another dude instead. Someone’s got to keep her out of trouble, so I agree to give her some hands-on experience. I can teach Casey how to bring a man to his knees and still keep things platonic. A little friends-with-benefits action shouldn’t be a problem.Uh, yeah. Small problem. The more boxes we check off on Casey’s lesson plan, the more I suspect I’ve taught her too well. Because the man being brought to his knees is me. KILT TO ORDER is a sizzling small-town friends-to-lovers romcom that features a found family of muscly men in kilts, a protective playboy, a spunky booknerd, and a guaranteed HEA for these two adorable idiots to lovers."
Burned Dreams (Perfectly Imperfect #7),Neva Altaj,4.15,"AlessandroEight long years, I have been waiting,Patiently plotting my revenge.Now, I've found him,And I'm going to make him pay.He hired me to guard his wife,Ensure her safety.And I'm going to kill the same woman I vowed to protect.He'll suffer like I did,And when I'm done with him, he'll be begging for mercy,Mercy, I won't give.RavennaHe stares at me with hatred in his dark gaze,His eyes as black as an abyss,Following my every move.Those eyes see everything;I can't escape that silent stare,Or hide the bruises that cover my body,Every mark proof of burned dreams.I also can't deny the craving I have for a man,Who will never be mine.*Burned Dreams is a full-length novel with several open-door steamy scenes, no cheating and a guaranteed HEA.This is the seventh book in Perfectly Imperfect mafia series. Each book in this series features a different couple and can be read as a standalone, but for maximum enjoyment, follow the recommended reading order."
The Flame King's Captive (Fire and Desire #1),Chloe Chastaine ...more,4.16,"He snatched me from the jaws of death for one reason—to be his.I was a dead king’s sacrificial bride, until his murderer claimed me as his. Zabriel invaded my country of Maledin on the back of a monstrous, fire-breathing dragon and took me prisoner. The lethal Zabriel towers over me in steel plate armor, and he could easily crush the life out of me—but the Flame King isn’t interested in harming me. Instead, he destroys everyone who has hurt me in a storm of fire and vengeance. There’s malignant rot deep within my country. My family has vanished along with whole villages of people. As I desperately try to find those who are missing, my body and heart awaken under a powerful and alarming force. Zabriel sets my soul ablaze every time he growls, “Mine.” He calls me Omega. The rarest. The most vulnerable. The one he craves to possess and protect. When evil forces in Maledin threaten everyone I know and love, there’s only one person who is strong enough to help me defeat them, and the only place where I’m safe from an ancient foe is in the arms of the Flame King. AUTHOR'S NOTE: The Flame King’s Captive is a slow-burn non-shifter MF omegaverse romance set in a fantasy world of magic and dragonriders. Zabriel is a jealous and possessive Alpha, and Isavelle is a sweet but strong virgin Omega heroine. This is the first book in the Fire and Desire trilogy. It contains steamy content that increases with each subsequent book and ends on a cliffhanger."
"Fake Dates & Ice Skates (North University, #1)",Janisha Boswell,3.28,"DISCLAIMER: The author is aware that some parts of the novel contain spelling and grammatical mistakes. Please take this into consideration when reading and that she is a young self-published author.𝐖𝐫𝐞𝐧 𝐇𝐚𝐜𝐤𝐞𝐫𝐥𝐲 𝐥𝐨𝐯𝐞𝐬 𝐫𝐨𝐮𝐭𝐢𝐧𝐞𝐬. She has always been a woman to stick by a schedule and work towards her end goal no matter the costs. The very last thing in her five year plan was to get caught in a fake dating plot with the one hockey player she just about tolerate.𝐌𝐢𝐥𝐞𝐬 𝐃𝐚𝐯𝐢𝐬 𝐢𝐬 𝐚 𝐫𝐮𝐥𝐞 𝐛𝐫𝐞𝐚𝐤𝐞𝐫 𝐚𝐧𝐝 𝐚 𝐟𝐥𝐢𝐫𝐭 everything that Wren is not used to and does not want to get used to. It doesn't help that he's one of the most popular people to ever set foot on North University's grounds.After much convincing, a few parties and an awkward family meeting later, Wren and Miles navigate the world of social media trolls and the harsh truths of living up to their potential. The more time Wren spends with him, she can slowly feel herself slipping out of the mould she has been in her entire life. For the most part, she kind of enjoys it, but there is a gnawing feeling like this is what is going to distract them from their goals. 𝐖𝐡𝐞𝐧 𝐭𝐡𝐞 𝐥𝐢𝐧𝐞 𝐛𝐞𝐭𝐰𝐞𝐞𝐧 𝐰𝐡𝐚𝐭’𝐬 𝐫𝐞𝐚𝐥 𝐚𝐧𝐝 𝐰𝐡𝐚𝐭’𝐬 𝐟𝐚𝐤𝐞 𝐛𝐞𝐠𝐢𝐧𝐬 𝐭𝐨 𝐛𝐥𝐮𝐫, 𝐰𝐢𝐥𝐥 𝐞𝐢𝐭𝐡𝐞𝐫 𝐨𝐟 𝐭𝐡𝐞𝐦 𝐚𝐝𝐦𝐢𝐭 𝐭𝐨 𝐟𝐞𝐞𝐥𝐢𝐧𝐠 𝐭𝐡𝐢𝐧𝐠𝐬 𝐭𝐡𝐚𝐭 𝐚𝐫𝐞𝐧’𝐭 𝐣𝐮𝐬𝐭 𝐩𝐫𝐞𝐭𝐞𝐧𝐝?"
Before We Fall,Aurora Rose Reynolds,4.41,"Tucker Beckett and I likely never would have met if our spouses weren’t having an affair.Newly divorced with a young son to raise Tucker Beckett is the last man Miranda Owens should be itching to figure out, to make smile, and hear laugh. Still there is something about the detective with haunted blue eyes and a dirty mouth that draws her in from the moment they meet.If only life were so simple.As Tucker and Miranda begin to navigate their new relationship, Tucker is tasked with solving the murder of a young woman, while their ex’s begin to play games in an attempt to split the two of them up.Before they fall , these two will need to figure out if the only thing tying them together is the circumstances that brought them together in the first place or if it’s something more.Love isn’t complicated but sometimes life is."
Forged by Magic (Falling for Fables),Jenna Wolfhart,4.09,"A heartwarming, feel-good fantasy romance…with a helping of spice and only a pinch of danger.Trapped in a tower by the emperor who conquered her homeland, Daella yearns for an escape. But as one of the few half-orcs left in the world, she knows she’ll never be free, much less find her own happily ever after.Destiny takes an unexpected turn when the emperor offers her a deal. To earn her freedom, she must journey to the mysterious Isles of Fable and track down wielders of outlawed dragon magic. Eager to seize her chance, Daella agrees.When a brutal storm tosses her ship off course, she washes up on the wrong island—right at the feet of Rivelin, a gruff but handsome elven blacksmith, who seems more likely to stab her than help her. To her surprise, he offers her shelter until the next ship passes through in six weeks’ time.Daella soon realizes he’s hiding something big. It could be the very magic she’s been tasked to hunt down—the key to her long-awaited freedom. But as they bicker over the flames of his forge, her heart kindles with something she’s never felt before. When his secrets finally come to light, Daella must decide what’s more her freedom from the wicked crown or the desires of her heart.Forged by Magic is a complete, stand-alone fantasy romance novel set in the whimsical world of Falling for Fables."
